4224f592-49b0-4b38-b280-77db281f7c5d;Ахтубинск;Астраханская область;Южный;35635;1768
1f2778d6-2b9e-487e-822b-596fa1958da0;Ачинск;Красноярский край;Сибирский;100621;1683
031f69fa-7b57-495d-b6c3-ba55dc596396;Ачхой-Мартан;Чечня;Северо-Кавказский;30739;1846
748d29ec-f6b1-4742-8337-0eb845082aa4;Аша;Челябинская область;Уральский;27890;1898
10c91443-a786-4197-9f91-b33507f0280c;Бабаево;Вологодская область;Северо-Западный;11739;XV век
08aa5343-703d-4e83-b2bd-83a11f779347;Бабушкин;Бурятия;Сибирский;4368;1760
cef8f6d2-4ebd-416c-9f9b-22437ec3087a;Бавлы;Татарстан;Приволжский;21628;1658
1f740745-04c5-4518-a9fc-6609546050a4;Багратионовск;Калининградская область;Северо-Западный;6417;1336
5be71cc3-d413-43ea-86c7-36e8f308d51a;Байкальск;Иркутская область;Сибирский;13199;1961
dc5d70bd-5302-44b0-b6d6-8d5c4df392d3;Баймак;Башкортостан;Приволжский;17833;1850
7be75518-e20c-4f74-8d21-cb9c7c0de4ad;Бакал;Челябинская область;Уральский;16345;1757
130b1478-dfca-4945-ad1b-0d9a183351ea;Баксан;Кабардино-Балкария;Северо-Кавказский;39593;1891
f3cb2b2b-d43a-4fe0-a80e-bcffa97f671f;Балабаново;Калужская область;Центральный;29029;1584
9ac7f0ec-0d2e-47e6-9797-7e4465e04985;Балаково;Саратовская область;Приволжский;184466;1762
e36348e1-a5df-4996-9d10-7a4257758dc5;Балахна;Нижегородская область;Приволжский;48569;1474
55737980-fb82-4421-b3c8-7a173154bf3f;Балашиха;Московская область;Центральный;520962;1830
017ed39f-5253-4a3b-94c0-d16cd0e29835;Балашов;Саратовская область;Приволжский;74057;XVII век
146fe70b-d662-434a-82e0-b0575f970ff2;Балей;Забайкальский край;Сибирский;10286;1736
7cac9cd4-653b-404c-9524-55474f8e4acf;Балтийск;Калининградская область;Северо-Западный;26796;1626
f618485c-5adf-4290-b3ef-0c453146c349;Барабинск;Новосибирская область;Сибирский;27648;1893
1641a9e3-f440-498f-b605-741d702e4b9e;Барнаул;Алтайский край;Сибирский;630877;1730
1b0ce8d5-d20b-42c1-98ce-7b8a3eb9dc4d;Барыш;Ульяновская область;Приволжский;14924;XVII век
89a71a2a-d3a7-44c6-9549-fbb23c2905a4;Батайск;Ростовская область;Южный;126988;1769
479f89fc-26ae-4e9a-af83-73c4383dc728;Бахчисарай;Крым;Южный;28609;1532
4939c6d2-063d-41a3-ac91-9890cdd37f09;Бежецк;Тверская область;Центральный;21466;1137
de18d0b3-185b-41ea-8391-548f1fa7267c;Белая Калитва;Ростовская область;Южный;40448;1703
8ebae45d-02ff-4a2a-884c-3706b68a49e0;Белая Холуница;Кировская область;Приволжский;9659;1764
a5216b27-7903-4fda-ae99-58c6c52449fc;Белгород;Белгородская область;Центральный;339978;1596
1a781b36-52d4-4177-9e9b-a1c933946da9;Белебей;Башкортостан;Приволжский;59195;1757
aec79d35-0537-422c-bbbf-6984528d5d38;Белёв;Тульская область;Центральный;12846;1147
97a3e86c-ed34-4464-bc99-4de15930d32c;Белинский;Пензенская область;Приволжский;8656;1708
4e2b89e5-7248-4081-9aac-dfebe46000a9;Белово;Кемеровская область;Сибирский;68542;1726
911eea71-e7d4-4f71-a012-086889a74a02;Белогорск;Амурская область;Дальневосточный;61440;1860
86363f08-3351-49f3-bbdb-a29455e59292;Белогорск;Крым;Южный;17445;XIII век
c66340f2-5c14-4988-9360-78458a0c5dcd;Белозерск;Вологодская область;Северо-Западный;8375;862
d352ea25-277d-4a31-863b-223b95061c7d;Белокуриха;Алтайский край;Сибирский;14735;1846
cab01cd5-6dae-4253-8ed0-a7506ea327c3;Беломорск;Карелия;Северо-Западный;7708;XII век
ee16c7c7-5359-4452-8b16-89b2ca7e7d16;Белоозёрский;Московская область;Центральный;13737;1961
96222cd3-be8b-494e-97ac-ff95359d8b7e;Белорецк;Башкортостан;Приволжский;64525;1762
15a9d44c-9445-498f-b1ed-627bc94936cf;Белореченск;Краснодарский край;Южный;55870;1862
4a445068-8993-4e24-bda4-f64383d979a4;Белоусово;Калужская область;Центральный;10946;1962
a9f30369-5617-440a-9749-6f53a3612227;Белоярский;Ханты-Мансийский АО;Уральский;19994;1969
21570f3c-e0e9-4417-aa4e-81880c4ceb13;Белый;Тверская область;Центральный;3125;1350
69566312-3dfc-470b-a611-572484968c28;Бердск;Новосибирская область;Сибирский;102850;1716
7352c646-53dc-4e17-9bb5-a73d2fb92fb8;Березники;Пермский край;Приволжский;138069;1623
5746accd-b300-4af9-a3f5-ce0cd62c4714;Берёзовский;Кемеровская область;Сибирский;44932;1965
c759a0bd-46e6-4998-9206-d18e4dd92509;Берёзовский;Свердловская область;Уральский;59698;1748
a6314bd5-2ce8-4efe-88df-f252cee9d17e;Беслан;Северная Осетия;Северо-Кавказский;35929;1847
69ca3e3d-0432-4e01-ab44-4beaaf63c068;Бийск;Алтайский край;Сибирский;183852;1709
b9467b3e-3467-4577-9ea5-dfddc4930cd1;Бикин;Хабаровский край;Дальневосточный;16240;1895
2013cd5d-9653-400e-9330-2cfb307b1c8c;Билибино;Чукотский АО;Дальневосточный;5546;1955
566ae187-8a93-41ed-b04a-20ee54804ae6;Биробиджан;Еврейская АО;Дальневосточный;70064;1915
